#,A,Z,Q[MeV],Egamma[MeV],Eelec[MeV],Eneutrino[MeV],tau[s]
162,104,43,5.597,1.9037252590000007,1.589844291,2.1034304500000003,1584.079154896082
163,105,43,3.65,0.09120523046440002,0.7353030799000001,1.170721288,661.3314067435009
164,106,43,6.547,2.1969167299999994,1.90008027,2.450003,51.35994345564711
165,107,43,5.113,0.5097184800000001,1.89405,2.4504210000000004,30.585134866846033
166,108,43,7.739,1.4898055454399999,2.2561066700000003,2.8566040000000004,7.458733361395941
167,109,43,6.456,0.25202155064,2.7801560600000004,3.4091502,1.3128524872089569
168,110,43,9.038,1.2505061607499999,3.5230619599999997,4.2127498,1.2984255368000666
169,111,43,7.761,0.40665014899999996,3.21311,3.863795,0.4183815618577994
170,113,43,9.06,0.482033,3.6298600000000003,4.32986349,0.21928964621512245
171,114,43,11.62,1.1540079200000002,0.0,5.853140000000001,0.13983044242462264
172,103,44,0.7645,0.49534041784045,0.0636443089,0.1613975037,4892093.476108055
173,105,44,1.9166999999999998,0.7533034809779998,0.418839319722,0.7445571993000001,23054.843831421993
174,107,44,3.001,0.34481079465000003,1.08511103,1.5530109,324.6063842000168
175,108,44,1.37,-0.046619999999999884,0.52238,0.89424,393.855746162687
176,109,44,4.261,1.45873165,1.1637098799999999,1.6385584700000002,49.62870940658036
177,110,44,2.756,0.030567249999999824,1.12658715,1.5988456,17.37004829230312
178,111,44,5.519,0.8579944890000001,1.7369265400000002,2.7624018,3.058513486684603
179,112,44,4.1,0.08479573199999998,1.732259,2.2744989999999996,2.5247163215556863
180,113,44,6.9,-1.2516339999999992,4.935701999999999,3.2159320000000005,0.9914520919886934
181,114,44,5.49,-0.16392199999999946,2.511096,3.1428259999999995,0.7790553220800404
182,115,44,8.124,0.813914683,3.083158,3.72161,0.4587770230026903
183,105,45,0.5666,0.06819522429999997,0.1556176032,0.3427871725,183550.6275842047
184,107,45,1.509,0.312880898,0.4316525,0.7573853999999999,1878.3889432374303
185,108,45,4.493,-0.3680529999999993,2.4797029999999998,2.38135,236.43710727254555
186,109,45,2.607,0.2799135600000002,0.9370112399999999,1.3900752,116.56975930382825
187,110,45,5.502,2.7728517790000002,0.9390614999999999,0.0,40.39546114489098
188,112,45,6.59,-1.0291123000000013,4.2553144000000005,3.3637979000000007,7.473160311804829
189,113,45,4.824,0.28597342880000004,1.6012390000000003,2.064058,4.039546114489098
190,114,45,7.78,1.832531000000001,5.945710999999999,0.001758,2.6689858256445818
